codigo,subcategoria,nombre del producto,precio (q),imagen,descripcion,estado
K-CAT-INS-SS-LID-1/6,TAPADERA INSERTOS DE ACERO INOXIDABLE,TAPADERA DE INSERTO 1/6,17,https://kossino.com/wp-content/uploads/2023/01/Lid-1-6-600x702.jpg,"MEDIDA: 17.6 X 16.2CM

GROSOR: 0.7mm

PESO: 100g

MATERIAL: Acero inoxidable 201",Disponible
K-CAT-INS-SS-LID-1/9,TAPADERA INSERTOS DE ACERO INOXIDABLE,TAPADERA DE INSERTO 1/9,13,https://kossino.com/wp-content/uploads/2023/01/Lid-1-9.jpg,"MEDIDA: 17.6 X 10.8CM

GROSOR: 0.7mm

PESO: 66.5g

MATERIAL: Acero inoxidable 201",Disponible
K-CAT-INS-SS-RANU-1/1,TAPADERA INSERTOS DE ACERO INOXIDABLE,TAPA RANURADA DE 1/1,65,https://kossino.com/wp-content/uploads/2025/02/K-CAT-INS-SS.RANU-1-1-1.webp,"MEDIDA: 53 X 32.5CM

GROSOR: 1.0mm

MATERIAL: Acero inoxidable 201",Disponible
K-CAT-INS-SS-RANU-1/2,TAPADERA INSERTOS DE ACERO INOXIDABLE,TAPA RANURADA DE 1/2,45,https://kossino.com/wp-content/uploads/2025/02/K-CAT-INS-SS.RANU-1-2-1.webp,"MEDIDA: 32.5×26.5cm

GROSOR: 1.0mm

MATERIAL: Acero inoxidable 201",Disponible
K-CAT-INS-SS-RANU-1/3,TAPADERA INSERTOS DE ACERO INOXIDABLE,TAPA RANURADA DE 1/3,30,https://kossino.com/wp-content/uploads/2025/02/K-CAT-INS-SS.RANU-1-3-2.webp,"MEDIDA: 32.5×17.6cm

GROSOR: 1.0mm

MATERIAL: Acero inoxidable 201",Disponible
K-CAT-INS-SS-RANU-1/4,TAPADERA INSERTOS DE ACERO INOXIDABLE,TAPA RANURADA DE 1/4,27,https://kossino.com/wp-content/uploads/2025/02/K-CAT-INS-SS.RANU-1-4-2.jpg,"MEDIDA: 26.5×16.2cm

GROSOR: 1.0mm

MATERIAL: Acero inoxidable 201",Disponible
K-CAT-INS-SS-RANU-1/6,TAPADERA INSERTOS DE ACERO INOXIDABLE,TAPA RANURADA DE 1/6,20,https://kossino.com/wp-content/uploads/2025/02/K-CAT-INS-SS.RANU-1-6-2.webp,"MEDIDA: 17.6×16.2cm

GROSOR: 1.0mm

MATERIAL: Acero inoxidable 201",Disponible
K-CAT-INS-SS-RANU-1/9,TAPADERA INSERTOS DE ACERO INOXIDABLE,TAPA RANURADA DE 1/9,17,https://kossino.com/wp-content/uploads/2025/02/K-CAT-INS-SS.RANU-1-9-2.webp,"MEDIDA: 17.6×10.8cm

GROSOR: 1.0mm

MATERIAL: Acero inoxidable 201",Disponible
K-CAT-INS-SS-1/1-6.5CM,INSERTOS DE ACERO INOXIDABLE 1/1,INSERTO 1/1 DE 6.5CMS,75,https://kossino.com/wp-content/uploads/2023/01/1-1-2.5p-1.jpg,"MEDIDA: 53 X 32.5 X 6.5CM

GROSOR: 0.7mm

PESO: 700g

CAPACIDAD: 8 litros

MATERIAL: Acero inoxidable 201",Disponible
K-CAT-INS-SS-1/1-10CM,INSERTOS DE ACERO INOXIDABLE 1/1,INSERTO 1/1 DE 10CMS,95,https://kossino.com/wp-content/uploads/2023/01/1-1-4p-3.jpg,"MEDIDA: 53 X 32.5 X 10CM

GROSOR: 0.7mm

PESO: 800g

CAPACIDAD: 12 litros

MATERIAL: Acero inoxidable 201",Disponible
K-CAT-INS-SS-1/1-15CM,INSERTOS DE ACERO INOXIDABLE 1/1,INSERTO 1/1 DE 15CMS,125,https://kossino.com/wp-content/uploads/2023/01/1-1-6p.jpg,"MEDIDA: 53 X 32.5 X 15CM

GROSOR: 0.7mm

PESO: 950g

CAPACIDAD: 16 litros

MATERIAL: Acero inoxidable 201",Disponible
K-CAT-INS-SS-1/1-20CM,INSERTOS DE ACERO INOXIDABLE 1/1,INSERTO DE ACERO INOXIDABLE GN 1/1 – 20 CM DE PROFUNDIDAD,155,https://kossino.com/wp-content/uploads/2025/07/inserto-1-1-20cm-2.webp,"MEDIDA: 53 X 32.5 X 20CM

GROSOR: 0.7mm

CAPACIDAD: 16 litros

MATERIAL: Acero inoxidable 201",Disponible
K-CAT-INS-SS-1/2-6.5CM,INSERTOS DE ACERO INOXIDABLE 1/2,INSERTO 1/2 DE 6.5CMS,45,https://kossino.com/wp-content/uploads/2023/01/1-2-2.5p-1.jpg,"MEDIDA: 32.5 X 26.5 X 6.5CM

GROSOR: 0.7mm

PESO: 400g

CAPACIDAD: 4.5 litros

MATERIAL: Acero inoxidable 201",Disponible
K-CAT-INS-SS-1/2-10CM,INSERTOS DE ACERO INOXIDABLE 1/2,INSERTO 1/2 DE 10CMS,59,https://kossino.com/wp-content/uploads/2023/01/1-2-4p.webp,"MEDIDA: 32.5 X 26.5 X 10CM

GROSOR: 0.7mm

PESO: 450g

CAPACIDAD: 7 litros

MATERIAL: Acero inoxidable 201",Disponible
K-CAT-INS-SS-1/2-15CM,INSERTOS DE ACERO INOXIDABLE 1/2,INSERTO 1/2 DE 15CMS,75,https://kossino.com/wp-content/uploads/2023/01/1-2-6p-1.jpg,"MEDIDA: 32.5 X 26.5 X 15CM

GROSOR: 0.7mm

PESO: 550g

CAPACIDAD: 10 litros

MATERIAL: Acero inoxidable 201",Disponible
K-CAT-INS-SS-1/3-6.5CM,INSERTOS DE ACERO INOXIDABLE 1/3,INSERTO 1/3 DE 6.5CMS,39,https://kossino.com/wp-content/uploads/2023/01/1-3-2.5cm.jpg,"MEDIDA: 32.5 X 17.6 X 6.5CM

GROSOR: 0.7mm

PESO: 300g

CAPACIDAD: 2.5 litros

MATERIAL: Acero inoxidable 201",Disponible
K-CAT-INS-SS-1/3-10CM,INSERTOS DE ACERO INOXIDABLE 1/3,INSERTO 1/3 DE 10CMS,49,https://kossino.com/wp-content/uploads/2023/01/1-3-4p-1.jpg,"MEDIDA: 32.5 X 17.6 X 10CM

GROSOR: 0.7mm

PESO: 350g

CAPACIDAD: 4.0 litros

MATERIAL: Acero inoxidable 201",Disponible
K-CAT-INS-SS-1/3-15CM,INSERTOS DE ACERO INOXIDABLE 1/3,INSERTO 1/3 DE 15CMS,65,https://kossino.com/wp-content/uploads/2023/01/1-3-6p-600x600.jpg,"MEDIDA: 32.5 X 17.6 X 15CM

GROSOR: 0.7mm

PESO: 500g

CAPACIDAD: 6.0 litros

MATERIAL: Acero inoxidable 201",Disponible
K-CAT-INS-SS-1/4-6.5CM,INSERTOS DE ACERO INOXIDABLE 1/4,INSERTO 1/4 DE 6.5CMS,35,https://kossino.com/wp-content/uploads/2023/01/1-4-2.5p-1-600x600.jpg,"MEDIDA: 26.5 X 16.2 X 6.5CM

GROSOR: 0.7mm

PESO: 200g

CAPACIDAD: 1.7 litros

MATERIAL: Acero inoxidable 201",Disponible
K-CAT-INS-SS-1/4-10CM,INSERTOS DE ACERO INOXIDABLE 1/4,INSERTO 1/4 DE 10CMS,42,https://kossino.com/wp-content/uploads/2023/01/1-4-4p-1.jpg,"MEDIDA: 26.5 X 16.2 X 10CM

GROSOR: 0.7mm

PESO: 250g

CAPACIDAD: 2.5 litros

MATERIAL: Acero inoxidable 201",Disponible
K-CAT-INS-SS-1/4-15CM,INSERTOS DE ACERO INOXIDABLE 1/4,INSERTO 1/4 DE 15CMS,60,https://kossino.com/wp-content/uploads/2023/01/1-4-6.jpg,"MEDIDA: 26.5 X 16.2 X 15CM

GROSOR: 0.7mm

PESO: 350g

CAPACIDAD: 3.8 litros

MATERIAL: Acero inoxidable 201",Disponible
K-CAT-INS-SS-1/6-6.5CM,INSERTOS DE ACERO INOXIDABLE 1/6,INSERTO 1/6 6.5CM,27,https://kossino.com/wp-content/uploads/2023/01/1-6-2.5p-1.jpg,"MEDIDA: 17.6 X 16.2 X 6.5CM

GROSOR: 0.7mm

PESO: 150g

CAPACIDAD: 1.0 litros

MATERIAL: Acero inoxidable 201",Disponible
K-CAT-INS-SS-1/6-10CM,INSERTOS DE ACERO INOXIDABLE 1/6,INSERTO 1/6 DE 10CM,35,https://kossino.com/wp-content/uploads/2023/01/1-6-4p.webp,"MEDIDA: 17.6 X 16.2 X 10CM

GROSOR: 0.7mm

PESO: 250g

CAPACIDAD: 1.5 litros

MATERIAL: Acero inoxidable 201",Disponible
K-CAT-INS-SS-1/6-15CM,INSERTOS DE ACERO INOXIDABLE 1/6,INSERTO 1/6 15CM,48,https://kossino.com/wp-content/uploads/2023/01/1-6-6p.webp,"MEDIDA: 17.6 X 16.2 X 15CM

GROSOR: 0.7mm

PESO: 300g

CAPACIDAD: 2.2 litros

MATERIAL: Acero inoxidable 201",Disponible
K-CAT-INS-SS-1/9-6.5CM,INSERTOS DE ACERO INOXIDABLE 1/9,INSERTO 1/9 6.5CM,21,https://kossino.com/wp-content/uploads/2023/01/1-9-2.5p-1-600x600.jpg,"MEDIDA: 17.6 X 10.8 X 6.5CM

GROSOR: 0.7mm

PESO: 150g

CAPACIDAD: 0.55 litros

MATERIAL: Acero inoxidable 201",Disponible
K-CAT-INS-SS-1/9-10CM,INSERTOS DE ACERO INOXIDABLE 1/9,INSERTO 1/9 10CM,28,https://kossino.com/wp-content/uploads/2023/01/1-9-4p-1.jpg,"MEDIDA: 17.6 X 10.8 X 10CM

GROSOR: 0.7mm

PESO: 150g

CAPACIDAD: 0.9 litros

MATERIAL: Acero inoxidable 201",Disponible
K-CAT-INS-SS-1/9-15CM,INSERTOS DE ACERO INOXIDABLE 1/9,INSERTO 1/9 DE 15CMS,39,https://kossino.com/wp-content/uploads/2024/04/1-9-15cm-600x600.jpg,"MATERIAL: Acero inoxidable 201

MEDIDAS: 16? / 40cm",Disponible
K-CAT-ACC-BARRA-12PLG,BARRA DE ACERO INOXIDABLE PARA MESAS CALIENTES,"BARRA DE ACERO INOXIDABLE PARA MESAS CALIENTES 12""",21,https://kossino.com/wp-content/uploads/2025/09/barra-para-mesas-calientes-12plg.webp-1.webp,"MEDIDA: 12"" / 30cm",Disponible
K-CAT-ACC-BARRA-20PLG,BARRA DE ACERO INOXIDABLE PARA MESAS CALIENTES,"BARRA DE ACERO INOXIDABLE PARA MESAS CALIENTES 20""",37,https://kossino.com/wp-content/uploads/2025/09/barra-para-mesas-calientes-20plg.webp-1.webp,"MEDIDA: 20"" / 50cm",Disponible
K-CAT-INS-PC-LID-1/4,TAPADERA INSERTOS DE POLICARBONATO,TAPADERA PARA INSERTO 1/4,21,https://kossino.com/wp-content/uploads/2023/01/1-4-600x600.jpg,"MEDIDA: 26.5 X 16CM

PESO: 100g

MATERIAL: Policarbonato",Disponible
K-CAT-INS-PC-RANU-1/4,TAPADERA INSERTOS DE POLICARBONATO,TAPADERA RANURADA PARA 1/4,23,https://kossino.com/wp-content/uploads/2023/12/2581132.jpg,"MEDIDAS: 26.5 X 16.2cm

MATERIAL: Policarbonato",Disponible
K-CAT-INS-PC-LID-1/6,TAPADERA INSERTOS DE POLICARBONATO,TAPADERA PARA INSERTO 1/6,15,https://kossino.com/wp-content/uploads/2023/01/1-6-600x600.jpg,"MEDIDA: 17.5 X 160CM

PESO: 100g

MATERIAL: Policarbonato",Disponible
K-CAT-INS-PC-RANU-1/6,TAPADERA INSERTOS DE POLICARBONATO,TAPADERA RANURADA DE 1/6,15,https://kossino.com/wp-content/uploads/2023/12/2037831-removebg-preview.png,"MEDIDAS: 17.6 X 16.2cm

MATERIAL: Policarbonato",Disponible
K-CAT-INS-PC-FLIP-1/6,TAPADERA INSERTOS DE POLICARBONATO,TAPADERA FLIP PARA 1/6,25,https://kossino.com/wp-content/uploads/2023/12/61Eh1QwFqeL._AC_UF8941000_QL80_-600x551.jpg,"MEDIDAS: 17.6 x 16.2cm

MATERIAL: Policarbonato",Disponible
K-CAT-INS-PC-LID-1/9,TAPADERA INSERTOS DE POLICARBONATO,TAPADERA PARA INSERTO 1/9,10,https://kossino.com/wp-content/uploads/2023/01/1-9-600x600.jpg,"MEDIDA: 17.5 X 11.0CM

PESO: 80g

MATERIAL: Policarbonato",Disponible
K-CAT-INS-PC-RANU-1/9,TAPADERA INSERTOS DE POLICARBONATO,TAPADERA RANURADA PARA 1/9,11,https://kossino.com/wp-content/uploads/2023/12/2010132-removebg-preview.png,"MEDIDAS: 17.6 X 10.8cm

MATERIAL: Policarbonato",Disponible
K-CAT-INS-PC-DRENA-1/1,DRENAJE PARA INSERTO,DRENAJE PARA INSERTO 1/1,65,https://kossino.com/wp-content/uploads/2025/02/K-CAT-INS-PC-DRENA-1-1-1.webp,"MEDIDAS: 46x25x1.9cm

MATERIAL: Policarbonato",Disponible
K-CAT-INS-PC-DRENA-1/2,DRENAJE PARA INSERTO,DRENAJE PARA INSERTO 1/2,30,https://kossino.com/wp-content/uploads/2025/02/K-CAT-INS-PC-DRENA-1-2-1.jpg,"MEDIDAS: 26.5×19.6×1.5cm

MATERIAL: Policarbonato",Disponible
K-CAT-INS-PC-DRENA-1/3,DRENAJE PARA INSERTO,DRENAJE PARA INSERTO 1/3,27,https://kossino.com/wp-content/uploads/2025/02/K-CAT-INS-PC-DRENA-1-3-1-1.webp,"MEDIDAS: 25x10x1.5cm

MATERIAL: Policarbonato",Disponible
K-CAT-INS-PC-DRENA-1/4,DRENAJE PARA INSERTO,DRENAJE PARA INSERTO 1/4,15,https://kossino.com/wp-content/uploads/2025/02/K-CAT-INS-PC-DRENA-1-4-2.webp,"MEDIDAS: 12.3×10.8×1.5cm

MATERIAL: Policarbonato",Disponible
K-CAT-INS-PC-DRENA-1/6,DRENAJE PARA INSERTO,DRENAJE PARA INSERTO 1/6,10,https://kossino.com/wp-content/uploads/2023/12/2580992.jpg,"MEDIDAS: 12.3 x 10.8 x 1.5cm

MATERIAL: Policarbonato",Disponible
K-CAT-INS-PC-DRENA-1/9,DRENAJE PARA INSERTO,DRENAJE PARA INSERTO 1/9,8,https://kossino.com/wp-content/uploads/2023/12/1754282.jpg,"MEDIDAS: 12 x 5 x 1.5cm

MATERIAL: Policarbonato",Disponible
K-CAT-INS-PC-1/1-6.5CM,INSERTOS DE POLICARBONATO 1/1,INSERTO 1/1 DE 6.5CMS,115,https://kossino.com/wp-content/uploads/2023/01/1-1-6cm.jpg,"MEDIDA: 53 X 32.5 X 6.5CM

PESO: 750g

CAPACIDAD: 8.5 litros

MATERIAL: Policarbonato",Disponible
K-CAT-INS-PC-1/1-10CM,INSERTOS DE POLICARBONATO 1/1,INSERTO 1/1 DE 10CMS,135,https://kossino.com/wp-content/uploads/2023/01/1-1-4p.jpg,"MEDIDA: 53 X 32.5 X 10CM

PESO: 900g

CAPACIDAD: 13 litros

MATERIAL: Policarbonato",Disponible
K-CAT-INS-PC-1/1-15CM,INSERTOS DE POLICARBONATO 1/1,INSERTO 1/1 DE 15CMS,175,https://kossino.com/wp-content/uploads/2023/01/1-1-6p.webp,"MEDIDA: 53 X 32.5 X 15CM

PESO: 970g

CAPACIDAD: 19.5 litros

MATERIAL: Policarbonato",Disponible
 K-CAT-INS-PC-1/1-20CM,INSERTOS DE POLICARBONATO 1/1,INSERTO 1/1 DE 20CMS,200,https://kossino.com/wp-content/uploads/2025/04/1-1-20CM-300x300.webp,"MEDIDA: 53X32.5X20cm

CAPACIDAD: 25.6 litros

MATERIAL: Policarbonato",Disponible
K-CAT-INS-PC-1/2-6.5CM,INSERTOS DE POLICARBONATO 1/2,INSERTO 1/2 DE 6.5CMS,53,https://kossino.com/wp-content/uploads/2023/01/1-2-6cm.webp,"MEDIDA: 32.5 X 26.5 X 6.5CM

PESO: 390g

CAPACIDAD: 3.9 litros

MATERIAL: Policarbonato",Disponible
K-CAT-INS-PC-1/2-10CM,INSERTOS DE POLICARBONATO 1/2,INSERTO 1/2 DE 10CMS,69,https://kossino.com/wp-content/uploads/2023/01/1-2-10cm-600x600.webp,"MEDIDA: 32.5 X 26.5 X 10CM

PESO: 500g

CAPACIDAD: 5.9 litros

MATERIAL: Policarbonato",Disponible
K-CAT-INS-PC-1/2-15CM,INSERTOS DE POLICARBONATO 1/2,INSERTO 1/2 DE 15CMS,95,https://kossino.com/wp-content/uploads/2023/01/1-2-15cm-600x600.webp,"MEDIDA: 32.5 X 26.5 X 15CM

PESO: 600g

CAPACIDAD: 8.9 litros

MATERIAL: Policarbonato",Disponible
K-CAT-INS-PC-1/3-6.5CM,INSERTOS DE POLICARBONATO 1/3,INSERTO 1/3 DE 6.5CM,42,https://kossino.com/wp-content/uploads/2023/01/1-3-10cm.webp,"MEDIDA: 32.5 X 17.5 X 6.5CM

PESO: 280g

CAPACIDAD: 2.4 litros

MATERIAL: Policarbonato",Disponible
K-CAT-INS-PC-1/3-10CM,INSERTOS DE POLICARBONATO 1/3,INSERTO 1/3 DE 10CMS,55,https://kossino.com/wp-content/uploads/2023/01/1-3-10cm-1-600x600.webp,"MEDIDA: 32.5 X 17.5 X 10CM

PESO: 370g

CAPACIDAD: 3.6 litros

MATERIAL: Policarbonato",Disponible
K-CAT-INS-PC-1/3-15CM,INSERTOS DE POLICARBONATO 1/3,INSERTO 1/3 DE 15CMS,79,https://kossino.com/wp-content/uploads/2023/01/1-3-15cm.jpg,"MEDIDA: 32.5 X 17.5 X 15CM

PESO: 490g

CAPACIDAD: 5.3 litros

MATERIAL: Policarbonato",Disponible
K-CAT-INS-PC-1/4-6.5CM,INSERTOS DE POLICARBONATO 1/4,INSERTO 1/4 DE 6.5CMS,32,https://kossino.com/wp-content/uploads/2023/01/1-4-6cm-600x600.jpg,"MEDIDA: 26.5 X 160 X 6.5CM

PESO: 250g

CAPACIDAD: 1.7 litros

MATERIAL: Policarbonato",Disponible
K-CAT-INS-PC-1/4-10CM,INSERTOS DE POLICARBONATO 1/4,INSERTO 1/4 DE 10CMS,39,https://kossino.com/wp-content/uploads/2023/01/1-4-10cm-600x600.webp,"MEDIDA: 26.5 X 160 X 10CM

PESO: 280g

CAPACIDAD: 2.5 litros

MATERIAL: Policarbonato",Disponible
K-CAT-INS-PC-1/4-15CM,INSERTOS DE POLICARBONATO 1/4,INSERTO 1/4 DE 15CMS,43,https://kossino.com/wp-content/uploads/2023/01/1-4-15cm-600x600.webp,"MEDIDA: 26.5 X 160 X 15CM

PESO: 360g

CAPACIDAD: 3.7 litros

MATERIAL: Policarbonato",Disponible
